uf,cidade,candidato,votos_validos,votos_concorrentes,lat,lon
AC,PORTO WALTER,FELIPE D'AVILA,1,5503,-8.2687722,-72.7444458
AC,PORTO WALTER,SOFIA MANZANO,1,5503,-8.2687722,-72.7444458
AC,PORTO WALTER,VERA,0,5503,-8.2687722,-72.7444458
AC,PORTO WALTER,CONSTITUINTE EYMAEL,0,5503,-8.2687722,-72.7444458
AC,PORTO WALTER,LÉO PÉRICLES,0,5503,-8.2687722,-72.7444458
AC,RIO BRANCO,JAIR BOLSONARO,130393,203629,-9.9765362,-67.8220778
AC,RIO BRANCO,LULA,53560,203629,-9.9765362,-67.8220778
AC,RIO BRANCO,SIMONE TEBET,10522,203629,-9.9765362,-67.8220778
AC,RIO BRANCO,CIRO GOMES,6878,203629,-9.9765362,-67.8220778
AC,RIO BRANCO,SORAYA THRONICKE,1314,203629,-9.9765362,-67.8220778
AC,RIO BRANCO,FELIPE D'AVILA,600,203629,-9.9765362,-67.8220778
AC,RIO BRANCO,PADRE KELMON,154,203629,-9.9765362,-67.8220778
AC,RIO BRANCO,SOFIA MANZANO,80,203629,-9.9765362,-67.8220778
AC,RIO BRANCO,LÉO PÉRICLES,52,203629,-9.9765362,-67.8220778
AC,RIO BRANCO,VERA,45,203629,-9.9765362,-67.8220778
AC,RIO BRANCO,CONSTITUINTE EYMAEL,31,203629,-9.9765362,-67.8220778
AC,RODRIGUES ALVES,JAIR BOLSONARO,6551,8866,-7.7380283,-72.6509379
AC,RODRIGUES ALVES,LULA,1839,8866,-7.7380283,-72.6509379
AC,RODRIGUES ALVES,SIMONE TEBET,263,8866,-7.7380283,-72.6509379
AC,RODRIGUES ALVES,CIRO GOMES,165,8866,-7.7380283,-72.6509379
AC,RODRIGUES ALVES,SORAYA THRONICKE,35,8866,-7.7380283,-72.6509379
AC,RODRIGUES ALVES,FELIPE D'AVILA,8,8866,-7.7380283,-72.6509379
AC,RODRIGUES ALVES,PADRE KELMON,3,8866,-7.7380283,-72.6509379
AC,RODRIGUES ALVES,SOFIA MANZANO,1,8866,-7.7380283,-72.6509379
AC,RODRIGUES ALVES,CONSTITUINTE EYMAEL,1,8866,-7.7380283,-72.6509379
AC,RODRIGUES ALVES,LÉO PÉRICLES,0,8866,-7.7380283,-72.6509379
AC,RODRIGUES ALVES,VERA,0,8866,-7.7380283,-72.6509379
AC,SANTA ROSA DO PURUS,LULA,1357,2518,-9.4354872,-70.4926109
AC,SANTA ROSA DO PURUS,JAIR BOLSONARO,1028,2518,-9.4354872,-70.4926109
AC,SANTA ROSA DO PURUS,SIMONE TEBET,58,2518,-9.4354872,-70.4926109
AC,SANTA ROSA DO PURUS,CIRO GOMES,44,2518,-9.4354872,-70.4926109
AC,SANTA ROSA DO PURUS,SORAYA THRONICKE,26,2518,-9.4354872,-70.4926109
AC,SANTA ROSA DO PURUS,FELIPE D'AVILA,3,2518,-9.4354872,-70.4926109
AC,SANTA ROSA DO PURUS,PADRE KELMON,2,2518,-9.4354872,-70.4926109
AC,SANTA ROSA DO PURUS,CONSTITUINTE EYMAEL,0,2518,-9.4354872,-70.4926109
AC,SANTA ROSA DO PURUS,SOFIA MANZANO,0,2518,-9.4354872,-70.4926109
AC,SANTA ROSA DO PURUS,VERA,0,2518,-9.4354872,-70.4926109
AC,SANTA ROSA DO PURUS,LÉO PÉRICLES,0,2518,-9.4354872,-70.4926109
AC,SENA MADUREIRA,JAIR BOLSONARO,14317,21786,-9.0659556,-68.6571058
AC,SENA MADUREIRA,LULA,5811,21786,-9.0659556,-68.6571058
AC,SENA MADUREIRA,SIMONE TEBET,973,21786,-9.0659556,-68.6571058
AC,SENA MADUREIRA,CIRO GOMES,473,21786,-9.0659556,-68.6571058
AC,SENA MADUREIRA,SORAYA THRONICKE,163,21786,-9.0659556,-68.6571058
AC,SENA MADUREIRA,FELIPE D'AVILA,23,21786,-9.0659556,-68.6571058
AC,SENA MADUREIRA,PADRE KELMON,19,21786,-9.0659556,-68.6571058
AC,SENA MADUREIRA,SOFIA MANZANO,3,21786,-9.0659556,-68.6571058
AC,SENA MADUREIRA,CONSTITUINTE EYMAEL,2,21786,-9.0659556,-68.6571058
AC,SENA MADUREIRA,VERA,1,21786,-9.0659556,-68.6571058
AC,SENA MADUREIRA,LÉO PÉRICLES,1,21786,-9.0659556,-68.6571058
AC,SENADOR GUIOMARD,JAIR BOLSONARO,9134,13755,-9.9765,-67.31913961038961
AC,SENADOR GUIOMARD,LULA,3523,13755,-9.9765,-67.31913961038961
AC,SENADOR GUIOMARD,SIMONE TEBET,654,13755,-9.9765,-67.31913961038961
AC,SENADOR GUIOMARD,CIRO GOMES,349,13755,-9.9765,-67.31913961038961
AC,SENADOR GUIOMARD,SORAYA THRONICKE,75,13755,-9.9765,-67.31913961038961
